timestamp,region,service_line,resource_demand,capacity_planned,operational_spend_usd,reliability_score,gdp_growth_rate,tech_investment_index,cloud_sentiment_score,year,month,day
2024-01-11,West Europe,Compute,578.39,734,323.9,99.667,2.18,121.39,1970-01-01 00:00:00.000000064,1970,1,1
2024-01-11,West Europe,Storage,994.04,1262,139.17,99.931,2.18,121.39,1970-01-01 00:00:00.000000064,1970,1,1
2024-01-11,Central India,Compute,504.4,640,282.46,99.619,2.02,120.25,1970-01-01 00:00:00.000000061,1970,1,1
2024-01-11,Central India,Storage,827.91,1051,115.91,99.435,2.02,120.25,1970-01-01 00:00:00.000000061,1970,1,1
2024-01-12,East US,Compute,642.54,816,359.82,99.707,2.05,119.8,1970-01-01 00:00:00.000000067,1970,1,1
2024-01-12,East US,Storage,1147.99,1457,160.72,99.65,2.05,119.8,1970-01-01 00:00:00.000000067,1970,1,1
2024-01-12,West Europe,Compute,565.31,717,316.57,99.804,2.0,121.21,1970-01-01 00:00:00.000000060,1970,1,1
2024-01-12,West Europe,Storage,982.76,1248,137.59,99.456,2.0,121.21,1970-01-01 00:00:00.000000060,1970,1,1
2024-01-12,Central India,Compute,491.16,623,275.05,99.872,1.95,122.69,1970-01-01 00:00:00.000000063,1970,1,1
2024-01-12,Central India,Storage,812.59,1031,113.76,99.474,1.95,122.69,1970-01-01 00:00:00.000000063,1970,1,1
2024-01-13,East US,Compute,681.09,864,381.41,99.445,2.15,119.52,1970-01-01 00:00:00.000000067,1970,1,1
2024-01-13,East US,Storage,1127.92,1432,157.91,99.582,2.15,119.52,1970-01-01 00:00:00.000000067,1970,1,1
2024-01-13,West Europe,Compute,598.4,759,335.1,99.769,2.09,119.61,1970-01-01 00:00:00.000000069,1970,1,1
2024-01-13,West Europe,Storage,960.82,1220,134.52,99.807,2.09,119.61,1970-01-01 00:00:00.000000069,1970,1,1
2024-01-13,Central India,Compute,508.52,645,284.77,99.465,2.21,122.12,1970-01-01 00:00:00.000000064,1970,1,1
2024-01-13,Central India,Storage,853.58,1084,119.5,99.602,2.21,122.12,1970-01-01 00:00:00.000000064,1970,1,1
2024-01-14,East US,Compute,681.06,864,381.4,99.403,1.95,119.9,1970-01-01 00:00:00.000000067,1970,1,1
2024-01-14,East US,Storage,1115.18,1416,156.13,99.418,1.95,119.9,1970-01-01 00:00:00.000000067,1970,1,1
2024-01-14,West Europe,Compute,592.74,752,331.93,99.485,2.09,120.52,1970-01-01 00:00:00.000000065,1970,1,1
2024-01-14,West Europe,Storage,950.95,1207,133.13,99.521,2.09,120.52,1970-01-01 00:00:00.000000065,1970,1,1
2024-01-14,Central India,Compute,491.37,624,275.17,99.892,2.19,122.54,1970-01-01 00:00:00.000000065,1970,1,1
2024-01-14,Central India,Storage,815.01,1035,114.1,99.569,2.19,122.54,1970-01-01 00:00:00.000000065,1970,1,1
2024-01-15,East US,Compute,670.62,851,375.55,99.819,1.97,123.46,1970-01-01 00:00:00.000000065,1970,1,1
2024-01-15,East US,Storage,1140.13,1447,159.62,99.632,1.97,123.46,1970-01-01 00:00:00.000000065,1970,1,1
2024-01-15,West Europe,Compute,600.51,762,336.29,99.741,2.17,123.87,1970-01-01 00:00:00.000000067,1970,1,1
2024-01-15,West Europe,Storage,988.71,1255,138.42,99.437,2.17,123.87,1970-01-01 00:00:00.000000067,1970,1,1
2024-01-15,Central India,Compute,811.3499999999999,597,263.62,99.489,2.18,125.515,1970-01-01 00:00:00.000000061,1970,1,1
2024-01-15,Central India,Storage,811.81,1030,113.65,99.723,2.16,118.9,1970-01-01 00:00:00.000000061,1970,1,1
2024-01-16,East US,Compute,672.38,853,376.53,99.452,1.86,118.93,1970-01-01 00:00:00.000000061,1970,1,1
2024-01-16,East US,Storage,1094.8,1390,153.27,99.523,1.86,118.93,1970-01-01 00:00:00.000000061,1970,1,1
2024-01-16,West Europe,Compute,566.33,719,317.14,99.989,2.22,120.05,1970-01-01 00:00:00.000000066,1970,1,1
2024-01-16,West Europe,Storage,958.33,1217,134.17,99.614,2.22,120.05,1970-01-01 00:00:00.000000066,1970,1,1
2024-01-16,Central India,Compute,497.26,631,278.46,99.739,1.98,122.96,1970-01-01 00:00:00.000000063,1970,1,1
2024-01-16,Central India,Storage,852.74,1082,119.38,99.634,1.98,122.96,1970-01-01 00:00:00.000000063,1970,1,1
2024-01-17,East US,Compute,658.72,836,368.88,99.724,1.9,121.93,1970-01-01 00:00:00.000000061,1970,1,1
2024-01-17,East US,Storage,1137.44,1444,159.24,99.822,1.9,121.93,1970-01-01 00:00:00.000000061,1970,1,1
2024-01-17,West Europe,Compute,567.74,721,317.94,99.884,2.23,119.23,1970-01-01 00:00:00.000000060,1970,1,1
2024-01-17,West Europe,Storage,938.48,1191,131.39,99.772,2.23,119.23,1970-01-01 00:00:00.000000060,1970,1,1
2024-01-17,Central India,Compute,493.14,626,276.16,99.922,2.04,118.57,1970-01-01 00:00:00.000000065,1970,1,1
2024-01-17,Central India,Storage,839.54,1066,117.54,99.892,2.04,118.57,1970-01-01 00:00:00.000000065,1970,1,1
2024-01-18,East US,Compute,649.0,824,363.44,99.778,2.05,123.6,1970-01-01 00:00:00.000000066,1970,1,1
2024-01-18,East US,Storage,1133.46,1439,158.68,99.784,2.05,123.6,1970-01-01 00:00:00.000000066,1970,1,1
2024-01-18,West Europe,Compute,577.71,733,323.52,99.806,2.21,121.69,1970-01-01 00:00:00.000000061,1970,1,1
2024-01-18,West Europe,Storage,947.5,1203,132.65,99.536,2.21,121.69,1970-01-01 00:00:00.000000061,1970,1,1
2024-01-18,Central India,Compute,472.29,599,264.48,99.692,1.94,122.48,1970-01-01 00:00:00.000000064,1970,1,1
2024-01-18,Central India,Storage,837.49,1063,117.25,99.475,1.94,122.48,1970-01-01 00:00:00.000000064,1970,1,1
2024-01-19,East US,Compute,671.21,852,375.88,99.517,2.2,119.76,1970-01-01 00:00:00.000000064,1970,1,1
2024-01-19,East US,Storage,1128.35,1433,157.97,99.741,2.2,119.76,1970-01-01 00:00:00.000000064,1970,1,1
2024-01-19,West Europe,Compute,559.56,710,313.35,99.919,2.2,122.6,1970-01-01 00:00:00.000000064,1970,1,1
2024-01-19,West Europe,Storage,962.03,1221,134.68,99.656,2.2,122.6,1970-01-01 00:00:00.000000064,1970,1,1
2024-01-19,Central India,Compute,494.5,628,276.92,99.918,2.04,120.32,1970-01-01 00:00:00.000000068,1970,1,1
2024-01-19,Central India,Storage,838.93,1065,117.45,99.795,2.04,120.32,1970-01-01 00:00:00.000000068,1970,1,1
2024-01-20,East US,Compute,638.54,810,357.58,99.841,2.01,123.57,1970-01-01 00:00:00.000000063,1970,1,1
2024-01-20,East US,Storage,1123.91,1427,157.35,99.985,2.01,123.57,1970-01-01 00:00:00.000000063,1970,1,1
2024-01-20,West Europe,Compute,550.0,698,308.0,99.628,2.24,124.33,1970-01-01 00:00:00.000000060,1970,1,1
2024-01-20,West Europe,Storage,986.0,1252,138.04,99.687,2.24,124.33,1970-01-01 00:00:00.000000060,1970,1,1
2024-01-20,Central India,Compute,513.55,652,287.59,99.931,1.98,123.99,1970-01-01 00:00:00.000000060,1970,1,1
2024-01-20,Central India,Storage,820.86,1042,114.92,99.706,1.98,123.99,1970-01-01 00:00:00.000000060,1970,1,1
2024-01-21,East US,Compute,676.25,858,378.7,99.927,2.06,123.72,1970-01-01 00:00:00.000000060,1970,1,1
2024-01-21,East US,Storage,1137.34,1444,159.23,99.91,2.06,123.72,1970-01-01 00:00:00.000000060,1970,1,1
2024-01-21,West Europe,Compute,568.92,722,318.6,99.853,2.21,123.12,1970-01-01 00:00:00.000000060,1970,1,1
2024-01-21,West Europe,Storage,979.18,1243,137.08,99.48,2.21,123.12,1970-01-01 00:00:00.000000060,1970,1,1
2024-01-21,Central India,Compute,518.15,658,290.16,99.533,2.18,118.51,1970-01-01 00:00:00.000000066,1970,1,1
2024-01-21,Central India,Storage,853.94,1084,119.55,99.907,2.18,118.51,1970-01-01 00:00:00.000000066,1970,1,1
2024-01-22,East US,Compute,685.27,870,383.75,99.569,2.13,122.37,1970-01-01 00:00:00.000000066,1970,1,1
2024-01-22,East US,Storage,1113.91,1414,155.95,99.46,2.13,122.37,1970-01-01 00:00:00.000000066,1970,1,1
2024-01-22,West Europe,Compute,561.31,712,314.33,99.726,1.86,121.17,1970-01-01 00:00:00.000000066,1970,1,1
2024-01-22,West Europe,Storage,964.9,1225,135.09,99.871,1.86,121.17,1970-01-01 00:00:00.000000066,1970,1,1
2024-01-22,Central India,Compute,513.07,651,287.32,99.439,2.04,123.48,1970-01-01 00:00:00.000000065,1970,1,1
2024-01-22,Central India,Storage,853.51,1083,119.49,99.631,2.04,123.48,1970-01-01 00:00:00.000000065,1970,1,1
2024-01-23,East US,Compute,648.08,823,362.92,99.558,1.96,118.88,1970-01-01 00:00:00.000000061,1970,1,1
2024-01-23,East US,Storage,1123.98,1427,157.36,99.536,1.96,118.88,1970-01-01 00:00:00.000000061,1970,1,1
2024-01-23,West Europe,Compute,596.61,757,334.1,99.606,1.85,121.58,1970-01-01 00:00:00.000000068,1970,1,1
2024-01-23,West Europe,Storage,988.8,1255,138.43,99.653,1.85,121.58,1970-01-01 00:00:00.000000068,1970,1,1
2024-01-23,Central India,Compute,514.21,653,287.96,99.447,2.03,124.22,1970-01-01 00:00:00.000000060,1970,1,1
2024-01-23,Central India,Storage,837.28,1063,117.22,99.714,2.03,124.22,1970-01-01 00:00:00.000000060,1970,1,1
2024-01-24,East US,Compute,678.53,861,379.97,99.853,2.16,123.53,1970-01-01 00:00:00.000000069,1970,1,1
2024-01-24,East US,Storage,811.3499999999999,1421,156.68,99.886,2.18,125.515,1970-01-01 00:00:00.000000069,1970,1,1
2024-01-24,West Europe,Compute,551.31,700,308.73,99.436,2.15,120.51,1970-01-01 00:00:00.000000066,1970,1,1
2024-01-24,West Europe,Storage,989.29,1256,138.5,99.938,2.15,120.51,1970-01-01 00:00:00.000000066,1970,1,1
2024-01-24,Central India,Compute,468.22,594,262.21,99.975,1.86,118.6,1970-01-01 00:00:00.000000065,1970,1,1
2024-01-24,Central India,Storage,810.0,1028,113.4,99.602,1.86,118.6,1970-01-01 00:00:00.000000065,1970,1,1
2024-01-25,East US,Compute,644.05,817,360.67,99.426,2.21,123.7,1970-01-01 00:00:00.000000065,1970,1,1
2024-01-25,East US,Storage,1109.54,1409,155.34,99.83,2.21,123.7,1970-01-01 00:00:00.000000065,1970,1,1
2024-01-25,West Europe,Compute,555.81,705,311.26,99.755,2.14,123.14,1970-01-01 00:00:00.000000067,1970,1,1
2024-01-25,West Europe,Storage,968.53,1230,135.59,99.63,2.14,123.14,1970-01-01 00:00:00.000000067,1970,1,1
2024-01-25,Central India,Compute,490.18,622,274.5,99.75,2.04,121.99,1970-01-01 00:00:00.000000060,1970,1,1
2024-01-25,Central India,Storage,811.54,1030,113.62,99.625,2.04,121.99,1970-01-01 00:00:00.000000060,1970,1,1
2024-01-26,East US,Compute,661.43,840,370.4,99.777,2.25,120.27,1970-01-01 00:00:00.000000062,1970,1,1
2024-01-26,East US,Storage,1096.34,1392,153.49,99.963,2.25,120.27,1970-01-01 00:00:00.000000062,1970,1,1
2024-01-26,West Europe,Compute,569.22,722,318.77,99.576,1.96,122.65,1970-01-01 00:00:00.000000063,1970,1,1
2024-01-26,West Europe,Storage,989.07,1256,138.47,99.969,1.96,122.65,1970-01-01 00:00:00.000000063,1970,1,1
2024-01-26,Central India,Compute,485.05,616,271.63,99.586,1.97,121.95,1970-01-01 00:00:00.000000068,1970,1,1
2024-01-26,Central India,Storage,838.86,1065,117.44,99.6,1.97,121.95,1970-01-01 00:00:00.000000068,1970,1,1
2024-01-27,East US,Compute,653.3,829,365.85,99.581,1.9,123.72,1970-01-01 00:00:00.000000060,1970,1,1
2024-01-27,East US,Storage,1131.73,1437,158.44,99.41,1.9,123.72,1970-01-01 00:00:00.000000060,1970,1,1
2024-01-27,West Europe,Compute,586.59,744,328.49,99.671,2.16,120.24,1970-01-01 00:00:00.000000065,1970,1,1
2024-01-27,West Europe,Storage,993.38,1261,139.07,99.606,2.16,120.24,1970-01-01 00:00:00.000000065,1970,1,1
2024-01-27,Central India,Compute,502.2,637,281.23,99.839,2.07,123.34,1970-01-01 00:00:00.000000069,1970,1,1
2024-01-27,Central India,Storage,870.49,1105,121.87,99.976,2.07,123.34,1970-01-01 00:00:00.000000069,1970,1,1
2024-01-28,East US,Compute,668.54,849,374.38,99.67,2.09,124.47,1970-01-01 00:00:00.000000062,1970,1,1
2024-01-28,East US,Storage,1137.61,1444,159.27,99.608,2.09,124.47,1970-01-01 00:00:00.000000062,1970,1,1
2024-01-28,West Europe,Compute,564.55,716,316.15,99.788,1.9,123.3,1970-01-01 00:00:00.000000064,1970,1,1
2024-01-28,West Europe,Storage,965.62,1226,135.19,99.664,1.9,123.3,1970-01-01 00:00:00.000000064,1970,1,1
2024-01-28,Central India,Compute,500.15,635,280.08,99.75,2.16,123.84,1970-01-01 00:00:00.000000067,1970,1,1
2024-01-28,Central India,Storage,840.71,1067,117.7,99.597,2.16,123.84,1970-01-01 00:00:00.000000067,1970,1,1
2024-01-29,East US,Compute,642.31,815,359.7,99.486,1.96,120.23,1970-01-01 00:00:00.000000064,1970,1,1
2024-01-29,East US,Storage,1123.84,1427,157.34,99.972,1.96,120.23,1970-01-01 00:00:00.000000064,1970,1,1
2024-01-29,West Europe,Compute,588.11,746,329.34,99.483,1.91,121.54,1970-01-01 00:00:00.000000065,1970,1,1
2024-01-29,West Europe,Storage,946.56,1202,132.52,99.422,1.91,121.54,1970-01-01 00:00:00.000000065,1970,1,1
2024-01-29,Central India,Compute,505.14,641,282.88,99.562,1.89,124.45,1970-01-01 00:00:00.000000060,1970,1,1
2024-01-29,Central India,Storage,811.16,1030,113.56,99.414,1.89,124.45,1970-01-01 00:00:00.000000060,1970,1,1
2024-01-30,East US,Compute,668.98,849,374.63,99.546,2.24,124.41,1970-01-01 00:00:00.000000062,1970,1,1
2024-01-30,East US,Storage,1143.35,1452,160.07,99.898,2.24,124.41,1970-01-01 00:00:00.000000062,1970,1,1
2024-01-30,West Europe,Compute,589.75,748,330.26,99.41,2.19,120.04,1970-01-01 00:00:00.000000063,1970,1,1
2024-01-30,West Europe,Storage,975.58,1238,136.58,99.608,2.19,120.04,1970-01-01 00:00:00.000000063,1970,1,1
2024-01-30,Central India,Compute,511.8,649,286.61,99.436,2.09,123.56,1970-01-01 00:00:00.000000066,1970,1,1
2024-01-30,Central India,Storage,855.43,1086,119.76,99.408,2.09,123.56,1970-01-01 00:00:00.000000066,1970,1,1
2024-01-31,East US,Compute,654.4,831,366.46,99.685,2.02,120.09,1970-01-01 00:00:00.000000067,1970,1,1
2024-01-31,East US,Storage,1117.75,1419,156.49,99.917,2.02,120.09,1970-01-01 00:00:00.000000067,1970,1,1
2024-01-31,West Europe,Compute,580.83,737,325.27,99.581,1.91,119.73,1970-01-01 00:00:00.000000063,1970,1,1
2024-01-31,West Europe,Storage,969.33,1231,135.71,99.929,1.91,119.73,1970-01-01 00:00:00.000000063,1970,1,1
2024-01-31,Central India,Compute,512.41,650,286.95,99.406,1.98,122.92,1970-01-01 00:00:00.000000060,1970,1,1
2024-01-31,Central India,Storage,804.92,1022,112.69,99.421,1.98,122.92,1970-01-01 00:00:00.000000060,1970,1,1
2024-02-01,East US,Compute,681.47,865,381.62,99.523,2.02,121.5,1970-01-01 00:00:00.000000060,1970,1,1
2024-02-01,East US,Storage,1135.34,1441,158.95,99.93,2.02,121.5,1970-01-01 00:00:00.000000060,1970,1,1
2024-02-01,West Europe,Compute,569.51,723,318.93,99.441,2.24,124.97,1970-01-01 00:00:00.000000064,1970,1,1
2024-02-01,West Europe,Storage,985.33,1251,137.95,99.575,2.24,124.97,1970-01-01 00:00:00.000000064,1970,1,1
2024-02-01,Central India,Compute,475.35,603,266.2,99.43,2.03,125.26,1970-01-01 00:00:00.000000062,1970,1,1
2024-02-01,Central India,Storage,854.59,1085,119.64,99.675,2.03,125.26,1970-01-01 00:00:00.000000062,1970,1,1
2024-02-02,East US,Compute,651.66,827,364.93,99.913,2.18,122.25,1970-01-01 00:00:00.000000066,1970,1,1
2024-02-02,East US,Storage,1134.89,1441,158.88,99.46,2.18,122.25,1970-01-01 00:00:00.000000066,1970,1,1
2024-02-02,West Europe,Compute,557.15,707,312.0,99.544,2.3,122.98,1970-01-01 00:00:00.000000069,1970,1,1
2024-02-02,West Europe,Storage,991.18,1258,138.76,99.629,2.3,122.98,1970-01-01 00:00:00.000000069,1970,1,1
2024-02-02,Central India,Compute,472.7,600,264.71,99.456,2.08,122.89,1970-01-01 00:00:00.000000066,1970,1,1
2024-02-02,Central India,Storage,853.56,1084,119.5,99.424,2.08,122.89,1970-01-01 00:00:00.000000066,1970,1,1
2024-02-03,East US,Compute,648.74,823,363.3,99.423,1.95,123.74,1970-01-01 00:00:00.000000068,1970,1,1
2024-02-03,East US,Storage,1140.1,1447,159.61,99.931,1.95,123.74,1970-01-01 00:00:00.000000068,1970,1,1
2024-02-03,West Europe,Compute,564.58,717,316.16,99.69,2.18,121.19,1970-01-01 00:00:00.000000069,1970,1,1
2024-02-03,West Europe,Storage,988.82,1255,138.44,99.871,2.18,121.19,1970-01-01 00:00:00.000000069,1970,1,1
2024-02-03,Central India,Compute,488.23,620,273.41,99.792,2.16,125.38,1970-01-01 00:00:00.000000061,1970,1,1
2024-02-03,Central India,Storage,828.39,1052,115.98,99.591,2.16,125.38,1970-01-01 00:00:00.000000061,1970,1,1
2024-02-04,East US,Compute,675.54,857,378.31,99.505,2.06,125.86,1970-01-01 00:00:00.000000068,1970,1,1
2024-02-04,East US,Storage,1153.15,1464,161.44,99.676,2.06,125.86,1970-01-01 00:00:00.000000068,1970,1,1
2024-02-04,West Europe,Compute,560.77,712,314.03,99.917,2.04,125.09,1970-01-01 00:00:00.000000067,1970,1,1
2024-02-04,West Europe,Storage,971.14,1233,135.96,99.438,2.04,125.09,1970-01-01 00:00:00.000000067,1970,1,1
2024-02-04,Central India,Compute,811.3499999999999,629,277.42,99.635,2.18,125.515,1970-01-01 00:00:00.000000061,1970,1,1
2024-02-04,Central India,Storage,825.91,1048,115.63,99.778,1.98,120.92,1970-01-01 00:00:00.000000061,1970,1,1
2024-02-05,East US,Compute,674.67,856,377.81,99.892,2.09,122.51,1970-01-01 00:00:00.000000068,1970,1,1
2024-02-05,East US,Storage,1142.28,1450,159.92,99.608,2.09,122.51,1970-01-01 00:00:00.000000068,1970,1,1
2024-02-05,West Europe,Compute,544.24,691,304.78,99.602,2.03,122.02,1970-01-01 00:00:00.000000060,1970,1,1
2024-02-05,West Europe,Storage,972.34,1234,136.13,99.63,2.03,122.02,1970-01-01 00:00:00.000000060,1970,1,1
2024-02-05,Central India,Compute,498.37,632,279.09,99.695,2.19,122.61,1970-01-01 00:00:00.000000067,1970,1,1
2024-02-05,Central India,Storage,856.39,1087,119.89,99.767,2.19,122.61,1970-01-01 00:00:00.000000067,1970,1,1
2024-02-06,East US,Compute,650.8,826,364.45,99.982,2.0,125.75,1970-01-01 00:00:00.000000060,1970,1,1
2024-02-06,East US,Storage,1098.97,1395,153.86,99.628,2.0,125.75,1970-01-01 00:00:00.000000060,1970,1,1
2024-02-06,West Europe,Compute,554.9,704,310.75,99.973,1.96,121.51,1970-01-01 00:00:00.000000068,1970,1,1
2024-02-06,West Europe,Storage,968.99,1230,135.66,99.559,1.96,121.51,1970-01-01 00:00:00.000000068,1970,1,1
2024-02-06,Central India,Compute,486.27,617,272.31,99.449,2.05,123.38,1970-01-01 00:00:00.000000065,1970,1,1
2024-02-06,Central India,Storage,848.85,1078,118.84,99.471,2.05,123.38,1970-01-01 00:00:00.000000065,1970,1,1
2024-02-07,East US,Compute,662.85,841,371.2,99.863,2.05,123.5,1970-01-01 00:00:00.000000063,1970,1,1
2024-02-07,East US,Storage,1145.13,1454,160.32,99.761,2.05,123.5,1970-01-01 00:00:00.000000063,1970,1,1
