region,service_line,resource_demand,capacity_planned,operational_spend_usd,reliability_score,gdp_growth_rate,tech_investment_index,cloud_sentiment_score,year,month,day,rolling_mean_7,rolling_std_7,lag_1,lag_7,lag_14,day_of_week,is_weekend,quarter,demand_spike_flag
Central India,Compute,483.72,614,270.89,99.623,2.21,118.98,1970-01-01 00:00:00.000000066,1970,1,1,769.5585714285714,253.043609906051,993.37,1115.29,1129.05,4,0,1,0
Central India,Storage,835.23,1060,116.93,99.65,2.21,118.98,1970-01-01 00:00:00.000000066,1970,1,1,806.36,238.80896004965973,483.72,577.62,490.43,4,0,1,0
West Europe,Compute,563.81,716,315.73,99.476,2.09,121.67,1970-01-01 00:00:00.000000069,1970,1,1,745.3042857142856,238.30945972671353,835.23,991.2,844.8,5,1,1,0
East US,Storage,1110.67,1410,155.49,99.698,2.22,122.69,1970-01-01 00:00:00.000000063,1970,1,1,810.1899999999999,269.8388021887635,563.81,656.47,994.82,5,1,1,0
East US,Compute,686.58,871,384.48,99.81,2.22,122.69,1970-01-01 00:00:00.000000063,1970,1,1,749.7414285714286,236.9461534068146,1110.67,1109.72,503.82,5,1,1,0
West Europe,Storage,959.21,1218,134.29,99.517,2.09,121.67,1970-01-01 00:00:00.000000069,1970,1,1,804.6557142857145,234.1751139537207,686.58,574.81,825.39,5,1,1,0
Central India,Storage,841.15,1068,117.76,99.835,2.06,120.74,1970-01-01 00:00:00.000000069,1970,1,1,782.91,220.39227247493653,959.21,993.37,659.53,5,1,1,0
Central India,Compute,487.22,618,272.84,99.749,2.06,120.74,1970-01-01 00:00:00.000000069,1970,1,1,783.4100000000001,219.60293433072943,841.15,483.72,1115.29,5,1,1,0
East US,Compute,685.97,871,384.14,99.482,1.95,123.44,1970-01-01 00:00:00.000000067,1970,1,1,762.0871428571429,220.97484175913826,487.22,835.23,577.62,6,1,1,0
East US,Storage,1150.1,1460,161.01,99.767,1.95,123.44,1970-01-01 00:00:00.000000067,1970,1,1,845.8428571428573,243.28114680442494,685.97,563.81,991.2,6,1,1,1
West Europe,Compute,562.96,714,315.26,99.541,2.09,119.56,1970-01-01 00:00:00.000000067,1970,1,1,767.5985714285714,231.714053625625,1150.1,1110.67,656.47,6,1,1,0
West Europe,Storage,966.7,1227,135.34,99.63,2.09,119.56,1970-01-01 00:00:00.000000067,1970,1,1,807.6157142857143,239.44943229953878,562.96,686.58,1109.72,6,1,1,0
Central India,Compute,482.82,613,270.38,99.521,2.11,120.67,1970-01-01 00:00:00.000000063,1970,1,1,739.5600000000001,256.2897288226744,966.7,959.21,574.81,6,1,1,0
Central India,Storage,815.0,1035,114.1,99.414,2.11,120.67,1970-01-01 00:00:00.000000063,1970,1,1,735.8242857142858,254.748087062307,482.82,841.15,993.37,6,1,1,0
East US,Compute,667.34,847,373.71,99.465,2.07,121.87,1970-01-01 00:00:00.000000060,1970,1,1,761.5557142857142,233.6774089678006,815.0,487.22,483.72,0,0,1,0
East US,Storage,1097.81,1394,153.69,99.896,2.07,121.87,1970-01-01 00:00:00.000000060,1970,1,1,820.3900000000001,261.64677875588933,667.34,685.97,835.23,0,0,1,0
West Europe,Compute,811.3499999999999,750,331.03,99.557,2.18,125.515,1970-01-01 00:00:00.000000067,1970,1,1,771.9971428571428,218.22548665041282,1097.81,1150.1,563.81,0,0,1,0
West Europe,Storage,996.68,1265,139.53,99.861,2.12,120.32,1970-01-01 00:00:00.000000067,1970,1,1,833.9571428571428,210.41496546224116,811.3499999999999,562.96,1110.67,0,0,1,0
Central India,Compute,479.14,608,268.32,99.86,2.14,123.49,1970-01-01 00:00:00.000000062,1970,1,1,764.3057142857143,238.03432328532946,996.68,966.7,686.58,0,0,1,0
Central India,Storage,858.55,1090,120.2,99.59,2.14,123.49,1970-01-01 00:00:00.000000062,1970,1,1,817.9814285714284,203.8963120010242,479.14,482.82,959.21,0,0,1,0
West Europe,Compute,594.34,754,332.83,99.556,1.87,121.96,1970-01-01 00:00:00.000000066,1970,1,1,786.4585714285713,220.79138052534046,858.55,815.0,841.15,1,0,1,0
East US,Compute,677.14,859,379.2,99.986,2.06,119.81,1970-01-01 00:00:00.000000062,1970,1,1,787.8585714285715,219.93961227486741,594.34,667.34,487.22,1,0,1,0
East US,Storage,1126.17,1430,157.66,99.534,2.06,119.81,1970-01-01 00:00:00.000000062,1970,1,1,791.91,226.75626944658734,677.14,1097.81,685.97,1,0,1,1
Central India,Storage,832.57,1057,116.56,99.917,1.85,120.31,1970-01-01 00:00:00.000000066,1970,1,1,794.9414285714286,227.20087642352755,1126.17,811.3499999999999,1150.1,1,0,1,0
West Europe,Storage,963.66,1223,134.91,99.945,1.87,121.96,1970-01-01 00:00:00.000000066,1970,1,1,790.2242857142857,222.61071199571253,832.57,996.68,562.96,1,0,1,0
Central India,Compute,492.74,625,275.94,99.585,1.85,120.31,1970-01-01 00:00:00.000000066,1970,1,1,792.1671428571428,219.48053032211345,963.66,479.14,966.7,1,0,1,0
East US,Compute,653.08,829,365.73,99.778,1.97,122.16,1970-01-01 00:00:00.000000060,1970,1,1,762.8142857142858,222.8368750047997,492.74,858.55,482.82,2,0,1,0
East US,Storage,1093.37,1388,153.07,99.915,1.97,122.16,1970-01-01 00:00:00.000000060,1970,1,1,834.1042857142858,239.1809927549387,653.08,594.34,815.0,2,0,1,0
West Europe,Compute,575.68,731,322.38,99.59,2.21,122.64,1970-01-01 00:00:00.000000069,1970,1,1,819.61,252.95586505686447,1093.37,677.14,667.34,2,0,1,0
West Europe,Storage,966.68,1227,135.34,99.509,2.21,122.64,1970-01-01 00:00:00.000000069,1970,1,1,796.8257142857143,226.5453242257968,575.68,1126.17,1097.81,2,0,1,0
Central India,Compute,478.37,607,267.89,99.474,1.94,118.51,1970-01-01 00:00:00.000000062,1970,1,1,746.2257142857143,255.00018678798008,966.68,832.57,811.3499999999999,2,0,1,0
Central India,Storage,814.17,1033,113.98,99.941,1.94,118.51,1970-01-01 00:00:00.000000062,1970,1,1,724.87,239.54709460424127,478.37,963.66,996.68,2,0,1,0
West Europe,Compute,578.39,734,323.9,99.667,2.18,121.39,1970-01-01 00:00:00.000000064,1970,1,1,737.1057142857143,227.6037960182227,814.17,492.74,479.14,3,0,1,0
East US,Storage,1122.53,1425,157.15,99.959,2.09,121.23,1970-01-01 00:00:00.000000063,1970,1,1,804.17,264.8361626238631,578.39,653.08,858.55,3,0,1,1
East US,Compute,666.13,845,373.03,99.805,2.09,121.23,1970-01-01 00:00:00.000000063,1970,1,1,743.1357142857142,234.58163879959733,1122.53,1093.37,594.34,3,0,1,0
Central India,Storage,827.91,1051,115.91,99.435,2.02,120.25,1970-01-01 00:00:00.000000061,1970,1,1,779.1685714285713,223.69174000758056,666.13,575.68,677.14,3,0,1,0
Central India,Compute,504.4,640,282.46,99.619,2.02,120.25,1970-01-01 00:00:00.000000061,1970,1,1,713.1285714285714,227.31630975570664,827.91,966.68,1126.17,3,0,1,0
West Europe,Storage,994.04,1262,139.17,99.931,2.18,121.39,1970-01-01 00:00:00.000000064,1970,1,1,786.7957142857142,222.0540235961467,504.4,478.37,832.57,3,0,1,0
East US,Storage,1147.99,1457,160.72,99.65,2.05,119.8,1970-01-01 00:00:00.000000067,1970,1,1,834.4842857142856,261.2918221616807,994.04,814.17,963.66,4,0,1,1
West Europe,Compute,565.31,717,316.57,99.804,2.0,121.21,1970-01-01 00:00:00.000000060,1970,1,1,832.6157142857143,263.46618061635803,1147.99,578.39,492.74,4,0,1,0
East US,Compute,642.54,816,359.82,99.707,2.05,119.8,1970-01-01 00:00:00.000000067,1970,1,1,764.0457142857142,236.52066145526925,565.31,1122.53,653.08,4,0,1,0
Central India,Compute,491.16,623,275.05,99.872,1.95,122.69,1970-01-01 00:00:00.000000063,1970,1,1,739.05,256.95582162439257,642.54,666.13,1093.37,4,0,1,0
Central India,Storage,812.59,1031,113.76,99.474,1.95,122.69,1970-01-01 00:00:00.000000063,1970,1,1,736.8614285714285,256.13676967774927,491.16,827.91,575.68,4,0,1,0
West Europe,Storage,982.76,1248,137.59,99.456,2.0,121.21,1970-01-01 00:00:00.000000060,1970,1,1,805.1985714285714,247.44504598183488,812.59,504.4,966.68,4,0,1,0
East US,Compute,681.09,864,381.41,99.445,2.15,119.52,1970-01-01 00:00:00.000000067,1970,1,1,760.4914285714286,235.6286119743364,982.76,994.04,478.37,5,1,1,0
East US,Storage,1127.92,1432,157.91,99.582,2.15,119.52,1970-01-01 00:00:00.000000067,1970,1,1,757.6242857142859,230.18692598676867,681.09,1147.99,814.17,5,1,1,1
West Europe,Compute,598.4,759,335.1,99.769,2.09,119.61,1970-01-01 00:00:00.000000069,1970,1,1,762.3514285714285,225.87876279312405,1127.92,565.31,578.39,5,1,1,0
West Europe,Storage,960.82,1220,134.52,99.807,2.09,119.61,1970-01-01 00:00:00.000000069,1970,1,1,807.8199999999999,229.74280960819357,598.4,642.54,1122.53,5,1,1,0
Central India,Compute,508.52,645,284.77,99.465,2.21,122.12,1970-01-01 00:00:00.000000064,1970,1,1,810.3000000000001,225.81498068108772,960.82,491.16,666.13,5,1,1,0
Central India,Storage,853.58,1084,119.5,99.602,2.21,122.12,1970-01-01 00:00:00.000000064,1970,1,1,816.1557142857143,226.41492941479095,508.52,812.59,827.91,5,1,1,0
East US,Compute,681.06,864,381.4,99.403,1.95,119.9,1970-01-01 00:00:00.000000067,1970,1,1,773.0557142857142,217.97282535958036,853.58,982.76,504.4,6,1,1,0
East US,Storage,1115.18,1416,156.13,99.418,1.95,119.9,1970-01-01 00:00:00.000000067,1970,1,1,835.0685714285713,247.23305088037696,681.06,681.09,994.04,6,1,1,0
West Europe,Compute,592.74,752,331.93,99.485,2.09,120.52,1970-01-01 00:00:00.000000065,1970,1,1,758.6142857142856,223.1552006158601,1115.18,1127.92,1147.99,6,1,1,0
West Europe,Storage,950.95,1207,133.13,99.521,2.09,120.52,1970-01-01 00:00:00.000000065,1970,1,1,808.9785714285715,220.7403988420615,592.74,598.4,565.31,6,1,1,0
Central India,Compute,491.37,624,275.17,99.892,2.19,122.54,1970-01-01 00:00:00.000000065,1970,1,1,741.9142857142858,237.5899823826153,950.95,960.82,642.54,6,1,1,0
Central India,Storage,815.01,1035,114.1,99.569,2.19,122.54,1970-01-01 00:00:00.000000065,1970,1,1,785.6985714285713,214.53229884476383,491.37,508.52,491.16,6,1,1,0
East US,Compute,670.62,851,375.55,99.819,1.97,123.46,1970-01-01 00:00:00.000000065,1970,1,1,759.5614285714286,216.02383398046396,815.01,853.58,812.59,0,0,1,0
East US,Storage,1140.13,1447,159.62,99.632,1.97,123.46,1970-01-01 00:00:00.000000065,1970,1,1,825.1428571428571,254.48028016032242,670.62,681.06,982.76,0,0,1,1
West Europe,Compute,600.51,762,336.29,99.741,2.17,123.87,1970-01-01 00:00:00.000000067,1970,1,1,751.6185714285714,229.87638347806066,1140.13,1115.18,681.09,0,0,1,0
West Europe,Storage,988.71,1255,138.42,99.437,2.17,123.87,1970-01-01 00:00:00.000000067,1970,1,1,808.1857142857143,232.96278800537675,600.51,592.74,1127.92,0,0,1,0
Central India,Compute,811.3499999999999,597,263.62,99.489,2.18,125.515,1970-01-01 00:00:00.000000061,1970,1,1,788.2428571428572,224.5270258947525,988.71,950.95,598.4,0,0,1,0
Central India,Storage,811.81,1030,113.65,99.723,2.16,118.9,1970-01-01 00:00:00.000000061,1970,1,1,834.0199999999999,182.67795041182907,811.3499999999999,491.37,960.82,0,0,1,0
East US,Compute,672.38,853,376.53,99.452,1.86,118.93,1970-01-01 00:00:00.000000061,1970,1,1,813.6442857142857,192.82432538947145,811.81,815.01,508.52,1,0,1,0
East US,Storage,1094.8,1390,153.27,99.523,1.86,118.93,1970-01-01 00:00:00.000000061,1970,1,1,874.2414285714285,206.54935491132798,672.38,670.62,853.58,1,0,1,0
West Europe,Compute,566.33,719,317.14,99.989,2.22,120.05,1970-01-01 00:00:00.000000066,1970,1,1,792.2699999999999,197.08429913787316,1094.8,1140.13,681.06,1,0,1,0
West Europe,Storage,958.33,1217,134.17,99.614,2.22,120.05,1970-01-01 00:00:00.000000066,1970,1,1,843.3871428571429,185.0975489405776,566.33,600.51,1115.18,1,0,1,0
Central India,Compute,497.26,631,278.46,99.739,1.98,122.96,1970-01-01 00:00:00.000000063,1970,1,1,773.1800000000001,212.0332448776213,958.33,988.71,592.74,1,0,1,0
Central India,Storage,852.74,1082,119.38,99.634,1.98,122.96,1970-01-01 00:00:00.000000063,1970,1,1,779.092857142857,213.84445014342282,497.26,811.3499999999999,950.95,1,0,1,0
West Europe,Compute,567.74,721,317.94,99.884,2.23,119.23,1970-01-01 00:00:00.000000060,1970,1,1,744.2257142857143,227.10727581601475,852.74,811.81,491.37,2,0,1,0
East US,Storage,1137.44,1444,159.24,99.822,1.9,121.93,1970-01-01 00:00:00.000000061,1970,1,1,810.6628571428572,267.09071447196146,567.74,672.38,815.01,2,0,1,1
East US,Compute,658.72,836,368.88,99.724,1.9,121.93,1970-01-01 00:00:00.000000061,1970,1,1,748.3657142857144,239.16900453146394,1137.44,1094.8,670.62,2,0,1,0
West Europe,Storage,938.48,1191,131.39,99.772,2.23,119.23,1970-01-01 00:00:00.000000060,1970,1,1,801.53,233.24959013897538,658.72,566.33,1140.13,2,0,1,0
Central India,Storage,839.54,1066,117.54,99.892,2.04,118.57,1970-01-01 00:00:00.000000065,1970,1,1,784.5600000000001,224.08141437135444,938.48,958.33,600.51,2,0,1,0
Central India,Compute,493.14,626,276.16,99.922,2.04,118.57,1970-01-01 00:00:00.000000065,1970,1,1,783.9714285714286,224.96547256772325,839.54,497.26,988.71,2,0,1,0
East US,Compute,649.0,824,363.44,99.778,2.05,123.6,1970-01-01 00:00:00.000000066,1970,1,1,754.8657142857144,227.7480168122321,493.14,852.74,811.3499999999999,3,0,1,0
East US,Storage,1133.46,1439,158.68,99.784,2.05,123.6,1970-01-01 00:00:00.000000066,1970,1,1,835.6828571428571,249.6039132782368,649.0,567.74,811.81,3,0,1,1
West Europe,Compute,577.71,733,323.52,99.806,2.21,121.69,1970-01-01 00:00:00.000000061,1970,1,1,755.7214285714286,225.29554385507132,1133.46,1137.44,672.38,3,0,1,0
West Europe,Storage,947.5,1203,132.65,99.536,2.21,121.69,1970-01-01 00:00:00.000000061,1970,1,1,796.9757142857143,230.94184808136896,577.71,658.72,1094.8,3,0,1,0
Central India,Compute,472.29,599,264.48,99.692,1.94,122.48,1970-01-01 00:00:00.000000064,1970,1,1,730.3771428571429,249.7847691322995,947.5,938.48,566.33,3,0,1,0
Central India,Storage,837.49,1063,117.25,99.475,1.94,122.48,1970-01-01 00:00:00.000000064,1970,1,1,730.0842857142858,249.636609151325,472.29,839.54,958.33,3,0,1,0
East US,Compute,671.21,852,375.88,99.517,2.2,119.76,1970-01-01 00:00:00.000000064,1970,1,1,755.5228571428571,229.74781839474088,837.49,493.14,497.26,4,0,1,0
East US,Storage,1128.35,1433,157.97,99.741,2.2,119.76,1970-01-01 00:00:00.000000064,1970,1,1,824.0014285714286,261.89441781174406,671.21,649.0,852.74,4,0,1,1
West Europe,Compute,559.56,710,313.35,99.919,2.2,122.6,1970-01-01 00:00:00.000000064,1970,1,1,742.0157142857142,237.5728578673036,1128.35,1133.46,567.74,4,0,1,0
West Europe,Storage,962.03,1221,134.68,99.656,2.2,122.6,1970-01-01 00:00:00.000000064,1970,1,1,796.9185714285715,237.6814495936786,559.56,577.71,1137.44,4,0,1,0
Central India,Compute,494.5,628,276.92,99.918,2.04,120.32,1970-01-01 00:00:00.000000068,1970,1,1,732.2042857142858,251.1379047360992,962.03,947.5,658.72,4,0,1,0
Central India,Storage,838.93,1065,117.45,99.795,2.04,120.32,1970-01-01 00:00:00.000000068,1970,1,1,784.5814285714285,224.74165527174907,494.5,472.29,938.48,4,0,1,0
East US,Storage,1123.91,1427,157.35,99.985,2.01,123.57,1970-01-01 00:00:00.000000063,1970,1,1,825.4985714285714,259.38322487705153,838.93,837.49,839.54,5,1,1,1
West Europe,Compute,550.0,698,308.0,99.628,2.24,124.33,1970-01-01 00:00:00.000000060,1970,1,1,808.1828571428572,274.9768493112518,1123.91,671.21,493.14,5,1,1,0
East US,Compute,638.54,810,357.58,99.841,2.01,123.57,1970-01-01 00:00:00.000000063,1970,1,1,738.2099999999999,240.02496411831825,550.0,1128.35,649.0,5,1,1,0
Central India,Compute,513.55,652,287.59,99.931,1.98,123.99,1970-01-01 00:00:00.000000060,1970,1,1,731.6371428571429,246.2809291381345,638.54,559.56,1133.46,5,1,1,0
Central India,Storage,820.86,1042,114.92,99.706,1.98,123.99,1970-01-01 00:00:00.000000060,1970,1,1,711.4700000000001,229.47717039682465,513.55,962.03,577.71,5,1,1,0
West Europe,Storage,986.0,1252,138.04,99.687,2.24,124.33,1970-01-01 00:00:00.000000060,1970,1,1,781.6842857142858,227.20733885280077,820.86,494.5,947.5,5,1,1,0
East US,Compute,676.25,858,378.7,99.927,2.06,123.72,1970-01-01 00:00:00.000000060,1970,1,1,758.4442857142858,228.69108806839142,986.0,838.93,472.29,6,1,1,0
East US,Storage,1137.34,1444,159.23,99.91,2.06,123.72,1970-01-01 00:00:00.000000060,1970,1,1,760.3628571428573,232.2960360340719,676.25,1123.91,837.49,6,1,1,1
West Europe,Compute,568.92,722,318.6,99.853,2.21,123.12,1970-01-01 00:00:00.000000060,1970,1,1,763.0657142857143,229.5340889611782,1137.34,550.0,671.21,6,1,1,0
West Europe,Storage,979.18,1243,137.08,99.48,2.21,123.12,1970-01-01 00:00:00.000000060,1970,1,1,811.7285714285715,234.7827376127819,568.92,638.54,1128.35,6,1,1,0
Central India,Compute,518.15,658,290.16,99.533,2.18,118.51,1970-01-01 00:00:00.000000066,1970,1,1,812.3857142857142,233.81349318471356,979.18,513.55,559.56,6,1,1,0
Central India,Storage,853.94,1084,119.55,99.907,2.18,118.51,1970-01-01 00:00:00.000000066,1970,1,1,817.1114285714285,234.3470062698029,518.15,820.86,962.03,6,1,1,0
East US,Compute,685.27,870,383.75,99.569,2.13,122.37,1970-01-01 00:00:00.000000066,1970,1,1,774.1499999999999,225.62880223943034,853.94,986.0,494.5,0,0,1,0
East US,Storage,1113.91,1414,155.95,99.46,2.13,122.37,1970-01-01 00:00:00.000000066,1970,1,1,836.672857142857,252.9620631448048,685.27,676.25,838.93,0,0,1,0
West Europe,Compute,561.31,712,314.33,99.726,1.86,121.17,1970-01-01 00:00:00.000000066,1970,1,1,754.382857142857,231.6467482838388,1113.91,1137.34,1123.91,0,0,1,0
West Europe,Storage,964.9,1225,135.09,99.871,1.86,121.17,1970-01-01 00:00:00.000000066,1970,1,1,810.9514285714286,227.11313960436632,561.31,568.92,550.0,0,0,1,0
Central India,Compute,513.07,651,287.32,99.439,2.04,123.48,1970-01-01 00:00:00.000000065,1970,1,1,744.3642857142858,237.65445124221438,964.9,979.18,638.54,0,0,1,0
Central India,Storage,853.51,1083,119.49,99.631,2.04,123.48,1970-01-01 00:00:00.000000065,1970,1,1,792.2728571428571,217.39023841272825,513.07,518.15,513.55,0,0,1,0
East US,Compute,648.08,823,362.92,99.558,1.96,118.88,1970-01-01 00:00:00.000000061,1970,1,1,762.8642857142858,221.54224186048899,853.51,853.94,820.86,1,0,1,0
East US,Storage,1123.98,1427,157.36,99.536,1.96,118.88,1970-01-01 00:00:00.000000061,1970,1,1,825.5371428571428,255.39977366958686,648.08,685.27,986.0,1,0,1,1
West Europe,Compute,596.61,757,334.1,99.606,1.85,121.58,1970-01-01 00:00:00.000000068,1970,1,1,751.6371428571429,231.8025482829646,1123.98,1113.91,676.25,1,0,1,0
West Europe,Storage,988.8,1255,138.43,99.653,1.85,121.58,1970-01-01 00:00:00.000000068,1970,1,1,812.7071428571428,229.6045562639009,596.61,561.31,1137.34,1,0,1,0
Central India,Compute,514.21,653,287.96,99.447,2.03,124.22,1970-01-01 00:00:00.000000060,1970,1,1,748.3228571428572,242.63485540445916,988.8,964.9,568.92,1,0,1,0
Central India,Storage,837.28,1063,117.22,99.714,2.03,124.22,1970-01-01 00:00:00.000000060,1970,1,1,794.6385714285714,220.14521233559833,514.21,513.07,979.18,1,0,1,0
East US,Compute,678.53,861,379.97,99.853,2.16,123.53,1970-01-01 00:00:00.000000069,1970,1,1,769.6414285714285,222.27042174106822,837.28,853.51,518.15,2,0,1,0
East US,Storage,811.3499999999999,1421,156.68,99.886,2.18,125.515,1970-01-01 00:00:00.000000069,1970,1,1,792.9657142857142,215.86226711008277,678.53,648.08,853.94,2,0,1,0
West Europe,Compute,551.31,700,308.73,99.436,2.15,120.51,1970-01-01 00:00:00.000000066,1970,1,1,711.1557142857143,173.95210278092267,811.3499999999999,1123.98,685.27,2,0,1,0
West Europe,Storage,989.29,1256,138.5,99.938,2.15,120.51,1970-01-01 00:00:00.000000066,1970,1,1,767.2528571428572,193.11729533406066,551.31,596.61,1113.91,2,0,1,0
Central India,Compute,468.22,594,262.21,99.975,1.86,118.6,1970-01-01 00:00:00.000000065,1970,1,1,692.8842857142856,193.81626211931928,989.29,988.8,561.31,2,0,1,0
Central India,Storage,810.0,1028,113.4,99.602,1.86,118.6,1970-01-01 00:00:00.000000065,1970,1,1,735.14,180.13015350018424,468.22,514.21,964.9,2,0,1,0
East US,Compute,644.05,817,360.67,99.426,2.21,123.7,1970-01-01 00:00:00.000000065,1970,1,1,707.5357142857143,176.64090955543494,810.0,837.28,513.07,3,0,1,0
East US,Storage,1109.54,1409,155.34,99.83,2.21,123.7,1970-01-01 00:00:00.000000065,1970,1,1,769.1085714285713,231.45901821766566,644.05,678.53,853.51,3,0,1,0
West Europe,Compute,555.81,705,311.26,99.755,2.14,123.14,1970-01-01 00:00:00.000000067,1970,1,1,732.602857142857,243.52376158630355,1109.54,811.3499999999999,648.08,3,0,1,0
West Europe,Storage,968.53,1230,135.59,99.63,2.14,123.14,1970-01-01 00:00:00.000000067,1970,1,1,792.2057142857142,242.81335334347807,555.81,551.31,1123.98,3,0,1,0
Central India,Compute,490.18,622,274.5,99.75,2.04,121.99,1970-01-01 00:00:00.000000060,1970,1,1,720.9042857142856,248.50888910037946,968.53,989.29,596.61,3,0,1,0
Central India,Storage,811.54,1030,113.62,99.625,2.04,121.99,1970-01-01 00:00:00.000000060,1970,1,1,769.9499999999999,222.8852909757243,490.18,468.22,988.8,3,0,1,0
East US,Compute,661.43,840,370.4,99.777,2.25,120.27,1970-01-01 00:00:00.000000062,1970,1,1,748.7257142857143,225.4944246803116,811.54,810.0,514.21,4,0,1,0
East US,Storage,1096.34,1392,153.49,99.963,2.25,120.27,1970-01-01 00:00:00.000000062,1970,1,1,813.3385714285714,253.5551717364205,661.43,644.05,837.28,4,0,1,0
